order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
00b1cb0320190ca0daa2c88b35206009,3532ba38a3fd242259a514ac2b6ae6b6,canceled,2018-08-28 15:26:39,,,,2018-09-12
ed3efbd3a87bea76c2812c66a0b32219,191984a8ba4cbb2145acb4fe35b69664,canceled,2018-09-20 13:54:16,,,,2018-10-17
df8282afe61008dc26c6c31011474d02,aa797b187b5466bc6925aaaa4bb3bed1,canceled,2017-03-04 12:14:30,,,,2017-04-10
8d4c637f1accf7a88a4555f02741e606,b1dd715db389a2077f43174e7a675d07,canceled,2018-08-29 16:27:49,,,,2018-09-13
7a9d4c7f9b068337875b95465330f2fc,7f71ae48074c0cfec9195f88fcbfac55,canceled,2017-05-01 16:12:39,,,,2017-05-30
ddaec6fff982b13e7e048b627a11d6da,68f4ad79cc0c2ad06e19088f5c00e9fa,canceled,2016-10-04 19:41:32,,,,2016-11-16
5290c34bd38a8a095b885f13958db1e1,92af427e290117f39d9ff908566072e0,canceled,2018-08-21 10:25:18,,,,2018-09-06
03310aa823a66056268a3bab36e827fb,25dbbf0c477fd4ae0880aaffbb12e8b3,canceled,2018-08-07 16:33:59,,,,2018-09-04
4c8b9947280829d0a8b7e81cc249b875,403c35c4d8813bf67b3d396b91ca1619,canceled,2018-08-09 14:54:47,,,,2018-08-21
b13ea375fe9c728832688264638f84cf,0dc5884bc5ffba283678229f27e07ff9,canceled,2018-08-22 18:52:29,,,,2018-09-19
ea844c92cf978ea23321fa7fe5871761,6ddc45ad08e6a2c885ca2255fc52d6df,canceled,2018-09-13 09:56:12,,,,2018-09-27
e04abd8149ef81b95221e88f6ed9ab6a,2127dc6603ac33544953ef05ec155771,delivered,2017-02-18 14:40:00,,2017-02-23 12:04:47,2017-03-01 13:25:33,2017-03-17
85e05c3c9aa9834518f35d4f286014be,1d07a80a15700b40cb15ff5870ee8b48,canceled,2018-08-28 08:18:22,,,,2018-10-10
38a86eb53c2309d6234fc9bad96331ac,82d98198f7fb1687858e03a5322e1621,canceled,2018-08-18 12:39:31,,,,2018-08-29
c5a468ae781ffb0ec6d36ae89fe512b0,ed7ef682569428c1afaf73b39a2f602b,canceled,2017-01-13 11:06:56,,,,2017-02-13
2bb02fdf5637a68cd5d13c78c37c3376,8c468917b274857623298a1627369866,canceled,2018-08-09 10:55:10,,,,2018-08-17
b5359909123fa03c50bdb0cfed07f098,438449d4af8980d107bf04571413a8e7,created,2017-12-05 01:07:52,,,,2018-01-11
9380c59012c11f49c549ef8dffef1367,07838708499d3eb9da748cb10b8ddf0a,canceled,2018-08-15 11:05:44,,,,2018-09-21
672ab3776d5b25e586521469609ae774,8c8b3a28c07f67148f86f297604b9875,canceled,2017-05-10 11:52:51,,,,2017-05-26
dba5062fbda3af4fb6c33b1e040ca38f,964a6df3d9bdf60fe3e7b8bb69ed893a,created,2018-02-09 17:21:04,,,,2018-03-07
87ae60ef8b08ae0e5f903cacb53a6904,fea4d57ed3a45455f89c25ef3dae8ee8,canceled,2018-09-11 16:45:54,,,,2018-09-26
651a89e11653d8df43a624a903fe0f5e,e536e3de6a1ac1c527acb004f4120d81,canceled,2017-06-06 20:31:46,,,,2017-06-29
947e9c6bfd83a06953c420ef92d3da6e,2737211835d5ea370af15ee145f7840c,canceled,2018-08-15 15:13:32,,,,2018-08-28
0e6dbbc7484dc1ee0392c9ca801035c2,90f65e1539426f18ab1941841d728c72,canceled,2018-03-01 22:40:51,,,,2018-03-23
186d3cd768be1890d832106f914ba37c,07b0857255ede98368d11c60ae263bfa,canceled,2017-06-09 10:16:21,,,,2017-07-05
2e9d8db9e132a9b5e1236618b7e8ef4a,51c6f517f4492a9c2ab4153e998b018e,canceled,2018-08-09 18:42:38,,,,2018-09-04
5d9e1e0e7084f2f9e90a7069e64cba61,5a0e3721a8ca7e273f07af1ead76605e,canceled,2017-11-05 13:58:19,,,,2017-11-17
252788350f9dad30b31847845fe119fe,43c2e0c2bffdba58e569a9cf02d9b508,canceled,2017-04-23 14:58:37,,,,2017-05-23
bd35b677fd239386e9861d11ae98ab56,ad2eb5d02c0808bcd8743117f6383cf6,canceled,2018-09-17 17:21:16,,,,2018-10-01
b642a3e08bfd10119c9b7e948c936e93,f623e071624706724ec88fbb991b6833,canceled,2017-02-03 01:03:44,,,,2017-03-06
00d0ffd14774da775ac832ba8520510f,a2f3de2a0a84803cef018776a2e76c9b,canceled,2017-12-23 22:25:00,,,,2018-01-19
8a9adc69528e1001fc68dd0aaebbb54a,4c1ccc74e00993733742a3c786dc3c1f,delivered,2017-02-18 12:45:31,,2017-02-23 09:01:52,2017-03-02 10:05:06,2017-03-21
63802c52ced9ff923c962ecbf4b3a2a2,8424f98d9254ad85c24141f3cd2fe8c5,canceled,2017-12-03 11:32:32,,,,2017-12-26
0a472c47d928bf4cd8b6a7a30345eeb7,8762d94c493b70216cd453ea2320234e,canceled,2018-08-30 10:14:00,,,,2018-10-02
ccd4eb95e68cb64e666ddcb84f8dfb1e,daac514ffdd2cc0cda0e9686c63a9cad,canceled,2018-03-05 22:57:35,,,,2018-03-21
7013bcfc1c97fe719a7b5e05e61c12db,2941af76d38100e0f8740a374f1a5dc3,delivered,2017-02-18 13:29:47,,2017-02-22 16:25:25,2017-03-01 08:07:38,2017-03-17
4d59cc2a2e7bb6c0a851725f5888a9b5,ead83a4f8f7be8c3034b2e98754a6147,canceled,2018-09-06 14:50:07,,,,2018-09-21
7a4df5d8cff4090e541401a20a22bb80,725e9c75605414b21fd8c8d5a1c2f1d6,created,2017-11-25 11:10:33,,,,2017-12-12
81b7c7bbc8ec003eeb67d87441a6a148,75c6e03e7206bd1dd59f427c9f75142a,canceled,2018-08-20 09:03:23,,,,2018-09-03
5cf925b116421afa85ee25e99b4c34fb,29c35fc91fc13fb5073c8f30505d860d,delivered,2017-02-18 16:48:35,,2017-02-22 11:23:10,2017-03-09 07:28:47,2017-03-31
12a95a3c06dbaec84bcfb0e2da5d228a,1e101e0daffaddce8159d25a8e53f2b2,delivered,2017-02-17 13:05:55,,2017-02-22 11:23:11,2017-03-02 11:09:19,2017-03-20
15ec3d48383c58c0dc96cd66f8884630,fc768a2275c44d9383cc6926adac469d,canceled,2018-08-23 15:17:19,,,,2018-09-20
33fe1cb532ac16a48902980e00c26da6,e0669fc658288e9aea6d958ea90fb9b7,canceled,2017-07-25 19:26:15,,,,2017-08-28
0d3adebce4bebc1f80a7f36e9833f497,a7c87c25dbdded68c26c640582cb5ddb,canceled,2018-09-03 18:40:50,,,,2018-10-02
1857e77a4bad8abb2db929f107430663,616833eaef04d25b67207119cd6936dc,canceled,2017-08-31 23:55:57,,,,2017-09-28
bb8edfe0742a6a0279b7dff848289568,c2a1740e781cc978dbab71735cf3ce84,canceled,2018-08-30 10:24:34,,,,2018-09-18
02e723e8edb4a123d414f56cc9c4665e,6e9f7d9e943f9c0bdea278d9d7a1c9b9,canceled,2017-08-18 14:30:19,,,,2017-09-21
c1d4211b3dae76144deccd6c74144a88,684cb238dc5b5d6366244e0e0776b450,delivered,2017-01-19 12:48:08,,2017-01-25 14:56:50,2017-01-30 18:16:01,2017-03-01
670e3b20191d3198a76069c8f9b12355,f76bd438480c183ffb510bad040f3bd9,canceled,2017-02-03 00:55:24,,,,2017-03-09
ba2821b49c92e278db491d3e19fa0556,159ca8ee3ba03b17c749a3bc8e099e87,canceled,2017-05-02 17:51:28,,,,2017-05-26
dafb12075abc3168e9addb5ccf7a02c5,a623062e2e6941fa9cc54558ea3229a6,canceled,2017-07-16 21:59:33,,,,2017-07-28
2663ce3526465b7ee9809428adabdc45,032a544bbe984490f6ff7450e3c8b0bc,canceled,2018-08-30 13:07:46,,,,2018-09-12
92d731517f17c26f16182d45498c4c3d,95c44daefa7bfb91c6bb0665a0cd22fc,canceled,2016-10-05 11:23:13,,,,2016-11-14
d177b7c08ed2934d5888e7fd236d42e1,045d8fcab59f603256eefe86e45f0350,canceled,2017-08-17 13:20:41,,,,2017-09-04
21a00b08cbeb5716bbb66105e3dbd850,002b5342c72978cf0aba6aae1f5d5293,canceled,2018-09-10 17:51:25,,,,2018-09-20
a2ac6dad85cf8af5b0afb510a240fe8c,4c2ec60c29d10c34bd49cb88aa85cfc4,canceled,2018-10-03 18:55:29,,,,2018-10-16
d2bc174d5c413f457a21db6899afb682,0337719c3caba8187a276942d35347fd,canceled,2018-08-09 09:50:42,,,,2018-09-14
1a5d21f44c73693b9930d0ca33a9d0b1,a21871375ed19fc3f2d8c62fdc75b9dc,canceled,2018-08-16 17:50:14,,,,2018-09-12
4641a7999ca05850ee60509c213dc8ac,a7ff2f7795c7e202a24fc881252112bf,canceled,2017-11-20 12:48:37,,,,2017-12-01
fd4c3a2912e854eedd463b329540da4b,d2fdd1d3725bccaa0900e360a985398f,canceled,2017-10-28 11:18:48,,,,2017-11-21
5aac76cf7b07dd06fa4d50bf461d2f40,7a8a02e54cf3472df427e927f8b9c046,canceled,2018-09-25 11:59:18,,,,2018-10-11
0ea5760bfbfe671160e0599cf68f1981,e016de14d2abd37825c4c485cd780b74,canceled,2018-07-18 09:56:16,,,,2018-08-16
896fbd78a9ef3839b34b893f48f6bc67,20153d17ff713721abd8b4c082d5e4d5,canceled,2018-05-12 01:48:33,,,,2018-05-30
503e8daafed23dbae78ff210f2d41f0f,b803a36f5b9d8d6f91c23a92d2e5bac2,canceled,2018-08-20 14:16:15,,,,2018-09-04
582fd4fa596ee1af88f153a5ba0523f2,deaa19219d8e3afdf04e2685df1bda8a,canceled,2017-11-09 17:38:45,,,,2017-12-05
816e9ea5a585767bf637afdfb6d536ed,9629cd856821f7cffff6f6238d5cb5e7,canceled,2017-09-27 20:03:11,,,,2017-10-19
8040bd2eb4b6e7cfcda94f1ccdcc703d,43d849aaaec5478f91ff9b26406d7808,canceled,2017-05-03 23:23:55,,,,2017-06-07
869997fbe01f39d184956b5c6bccfdbe,55c9dad94ec1a2ba57998bdb376c230a,canceled,2018-09-26 08:40:15,,,,2018-10-25
99b492e774feb838a15101dc48ecb6f0,0a095e1e6ef438f5fa02a40716b22126,canceled,2017-08-03 11:01:10,,,,2017-08-17
d69e5d356402adc8cf17e08b5033acfb,68d081753ad4fe22fc4d410a9eb1ca01,delivered,2017-02-19 01:28:47,,2017-02-23 03:11:48,2017-03-02 03:41:58,2017-03-27
032cf17f7a713287e46999fddea6051b,7ec44117b7760d297447f1cff2a10967,canceled,2016-10-07 12:21:07,,,,2016-11-17
f86d7bc39aab05299691322044b63bb2,ff31bee1ba4bba00cc14b1b91c8d28f3,canceled,2018-08-13 18:43:06,,,,2018-09-25
d77031d6a3c8a52f019764e68f211c69,0bf35cac6cc7327065da879e2d90fae8,delivered,2017-02-18 11:04:19,,2017-02-23 07:23:36,2017-03-02 16:15:23,2017-03-22
c306eca42d32507b970739b5b6a5a33a,24b0e2bd287e47d54d193e7bbb51103f,canceled,2018-08-13 09:14:07,,,,2018-09-05
4637ca194b6387e2d538dc89b124b0ee,a73c1f73f5772cf801434bf984b0b1a7,canceled,2018-09-03 14:14:25,,,,2018-09-10
c8c528189310eaa44a745b8d9d26908b,197a2a6a77da93f678ea0d379f21da0a,canceled,2018-08-28 20:05:14,,,,2018-09-11
e8e186c0ebe18282aada53c56e7da34f,3b4f0692301aa019cceb68556e411f88,canceled,2017-05-02 07:34:35,,,,2017-05-29
f4a8cf5dcabdbe8dd7e65e1674db3015,f46fbb1f9d19890a021e112d9e67c4c0,canceled,2018-01-21 23:26:18,,,,2018-02-06
24b425b6d0f061fcb84c1832d221e3bb,aeb4c7533882b7b165d846a5cb5a4c3e,canceled,2017-08-22 09:50:59,,,,2017-09-26
8cacf6d8c088e18ca96ee6d5a138461b,5885d2cdadfe2bfd47d3b8221e0685eb,canceled,2017-05-27 22:42:30,,,,2017-06-23
d9258776ebce96efd9811c6554d12726,1ead19a592ff7cb342e088c257c1f45d,canceled,2017-10-20 19:35:47,,,,2017-11-16
b715c631fdd01580d9de3ed3759523c7,14d0a56007d15cde2d14e47edd0ef3c1,canceled,2018-02-17 20:24:59,,,,2018-03-12
2b941f8e6ff81158a52de44909dc2a52,76ff5182e587b958e3b372f958ffbe16,canceled,2017-04-14 19:05:05,,,,2017-05-10
